timestep,price
1,2447.83
2,2447.65
3,2456.96
4,2456.16
5,2454.19
6,2454.76
7,2455.47
8,2456.19
9,2458.57
10,2465.72
11,2464.98
12,2464.11
13,2462.25
14,2460.92
15,2465.07
16,2467.97
17,2470.41
18,2470.4
19,2470.98
20,2475.4
21,2473.23
22,2469.73
23,2466.45
24,2461.35
25,2461.91
26,2459.86
27,2462.63
28,2463.58
29,2461.14
30,2455.97
31,2462.24
32,2457.15
33,2458.22
34,2458.17
35,2458.38
36,2458.39
37,2454.37
38,2452.34
39,2451.67
40,2449.18
41,2448.31
42,2451.64
43,2452.63
44,2451.49
45,2450.04
46,2451.76
47,2453.34
48,2454.1
49,2453.72
50,2455.77
51,2456.53
52,2459.15
53,2454.6
54,2457.66
55,2456.94
56,2456.98
57,2456.23
58,2456.08
59,2451.37
60,2452.18
61,2453.6
62,2449.62
63,2448.72
64,2447.99
65,2444.56
66,2437.35
67,2438.4
68,2434.92
69,2438.84
70,2434.68
71,2435.46
72,2436.89
73,2438.67
74,2440.66
75,2440.96
76,2437.18
77,2431.52
78,2433.14
79,2432.18
80,2431.76
81,2432.21
82,2432.97
83,2436.82
84,2440.83
85,2440.74
86,2440.26
87,2440.41
88,2444.44
89,2447.8
90,2452.51
91,2448.7
92,2448.73
93,2444.5
94,2442.98
95,2446.53
96,2441.9
97,2443.1
98,2441.32
99,2440.95
100,2437.62
101,2440.07
102,2437.5
103,2435.79
104,2436.16
105,2436.94
106,2437.5
107,2437.31
108,2437.86
109,2440.02
110,2444.1
111,2444.39
112,2445.19
113,2444.02
114,2444.82
115,2444.39
116,2444.23
117,2447.06
118,2443.71
119,2444.74
120,2444.7
121,2448.3
122,2443
123,2441.51
124,2441.53
125,2440.87
126,2443.39
127,2443.58
128,2441.56
129,2448.14
130,2450
131,2454.24
132,2452.13
133,2453.28
134,2453.94
135,2456.77
136,2456.7
137,2455.79
138,2451.24
139,2454.31
140,2453.99
141,2450
142,2445.65
143,2445.2
144,2445.77
145,2444.7
146,2447.04
147,2444.71
148,2444.63
149,2446.46
150,2446.26
151,2446.98
152,2447.94
153,2449.03
154,2446.98
155,2450.27
156,2450.46
157,2451.08
158,2453.99
159,2452.79
160,2453.3
161,2453.2
162,2453.48
163,2453.26
164,2449.4
165,2451.57
