timestep,price
1,65006.470000
2,64859.540000
3,64877.860000
4,64733.670000
5,64872.930000
6,64864.080000
7,64881.650000
8,64585.320000
9,64660.860000
10,64693.410000
11,64662.190000
12,64476.090000
13,64694.950000
14,64742.220000
15,64799.310000
16,64568.900000
17,64411.250000
18,64555.830000
19,64681.370000
20,64335.990000
21,64552.400000
22,64570.920000
23,64638.910000
24,64685.550000
25,64695.200000
26,64696.100000
27,64647.290000
28,64591.350000
29,64554.650000
30,64494.270000
31,64758.790000
32,64748.100000
33,65041.750000
34,65031.420000
35,65246.740000
36,65275.980000
37,65225.840000
38,65093.730000
39,65051.150000
40,65130.400000
41,65398.920000
42,65464.820000
43,65435.160000
44,65589.600000
45,65785.430000
46,65627.010000
47,65693.010000
48,66006.870000
49,65761.500000
50,65783.960000
51,65662.200000
52,65728.550000
53,65937.620000
54,65851.840000
55,65823.080000
56,65942.430000
57,65904.290000
58,66186.410000
59,66391.460000
60,66258.810000
61,66361.090000
62,66446.990000
63,66583.400000
64,66655.370000
65,66856.770000
66,66882.060000
67,66928.240000
68,66963.620000
69,67028.370000
70,67328.480000
71,67438.050000
72,67619.080000
73,67539.890000
74,67452.460000
75,67150.700000
76,67430.120000
77,67401.940000
78,67375.330000
79,67535.910000
80,67410.980000
81,67344.090000
82,67343.050000
83,67415.830000
84,67552.070000
85,67403.660000
86,67344.500000
87,67544.200000
88,67513.910000
89,67261.260000
90,67121.030000
91,67315.230000
92,67125.480000
93,67265.850000
94,67231.330000
95,67135.530000
96,67201.120000
97,67305.820000
98,67340.250000
99,67401.810000
100,67358.910000
101,67315.280000
102,67224.520000
103,67203.230000
104,67291.180000
105,67358.620000
106,67420.460000
107,67546.320000
108,67512.700000
109,67710.740000
110,67563.210000
111,67476.560000
112,67354.650000
113,67218.590000
114,67226.100000
115,67083.000000
116,67246.420000
117,67182.090000
118,67167.510000
119,67307.330000
120,67402.540000
121,67595.310000
122,67454.450000
123,67391.060000
124,67234.050000
125,67186.910000
126,67209.540000
127,67352.690000
128,67340.690000
129,67492.930000
130,67175.750000
131,67188.000000
132,67136.070000
133,67016.380000
134,66846.850000
135,66509.170000
136,66304.830000
137,66274.330000
138,66090.370000
139,65925.110000
140,65830.880000
141,65633.330000
142,65541.520000
143,65448.590000
144,65514.930000
145,65774.970000
146,66051.200000
147,65807.810000
148,65720.930000
149,65608.830000
150,65797.250000
151,65657.420000
152,65537.560000
153,65503.140000
154,65652.850000
155,65625.250000
156,65946.490000
157,66005.100000
158,66310.380000
159,66356.150000
160,66423.550000
161,66332.860000
162,66555.410000
163,66436.250000
164,66416.670000
165,66384.010000
166,66398.350000
167,66498.630000
168,66350.730000
169,66122.120000
170,66330.610000
171,66317.790000
172,66543.690000
173,66560.590000
174,66685.180000
175,66431.640000
176,66317.450000
177,66323.770000
178,66287.450000
179,66243.880000
180,66083.650000
181,66143.800000
182,65924.510000
183,65677.520000
184,65435.280000
185,65257.280000
186,65228.410000
187,65207.660000
188,65330.320000
189,65383.100000
190,65812.180000
191,65645.470000
192,65653.250000
193,65481.450000
194,65533.200000
195,65495.830000
196,65491.030000
197,65789.680000
198,65769.220000
199,65677.290000
200,65846.620000
201,65963.120000
202,65964.450000
203,65789.240000
204,65787.220000
205,65790.960000
206,65804.740000
207,65809.870000
208,65863.170000
209,65781.810000
210,65748.990000
211,65804.050000
212,66000.170000
213,66036.100000
214,65960.570000
215,65793.170000
216,65867.930000
217,65860.930000
218,65917.000000
219,65979.690000
220,65952.410000
221,65976.320000
222,66075.880000
223,65965.830000
224,66013.520000
225,66238.930000
226,66595.310000
227,66580.880000
228,66474.510000
229,66438.360000
230,66360.560000
231,66446.690000
232,66372.610000
233,66147.360000
234,66324.480000
235,66376.060000
236,66374.600000
237,66496.010000
238,66749.740000
239,66746.870000
240,66720.510000
241,66826.530000
242,66813.620000
243,66898.060000
244,67047.240000
245,66791.170000
246,66508.030000
247,66291.700000
248,66386.270000
249,66575.560000
250,66497.330000
251,66358.040000
252,66086.330000
253,66192.650000
254,66122.220000
255,65953.140000
256,65760.800000
257,65829.260000
258,65647.850000
259,65745.490000
260,65497.870000
261,65488.100000
262,65347.350000
263,65357.430000
264,65394.180000
265,65574.560000
266,65726.640000
267,65707.460000
268,65765.890000
269,65529.380000
270,65318.800000
271,65170.670000
272,65195.510000
273,65462.870000
274,65474.600000
275,65474.370000
276,65353.170000
277,65555.550000
278,65524.320000
279,65542.310000
280,65291.100000
281,65312.500000
282,65522.360000
283,65551.880000
284,65389.160000
285,65152.100000
286,64942.000000
287,64923.020000
288,64980.360000
289,65098.520000
290,65061.260000
291,65224.910000
292,65453.870000
293,65195.460000
294,64923.750000
295,65183.160000
296,65283.050000
297,65157.590000
