timestep,buyer,seller,price,quantity
9,BotA,BotA,2452.65,1
11,BotC,BotB,2452.83,1
16,BotC,BotC,2459.76,1
17,BotC,BotA,2461.16,1
19,BotB,BotA,2461.19,1
20,BotB,BotB,2461.19,1
21,BotA,BotB,2461.96,1
22,BotB,BotC,2463.57,1
39,BotB,BotB,2456.67,1
40,BotC,BotA,2454.18,1
40,BotC,BotB,2454.18,1
62,BotA,BotA,2454.62,1
64,BotC,BotC,2452.99,1
67,BotA,BotA,2443.4,1
68,BotB,BotB,2439.92,1
70,BotA,BotB,2439.68,1
73,BotB,BotA,2443.67,1
74,BotB,BotC,2445.66,1
76,BotB,BotA,2442.18,1
79,BotA,BotB,2437.18,1
80,BotB,BotC,2436.76,1
83,BotB,BotB,2441.82,1
83,BotA,BotC,2441.82,1
84,BotB,BotC,2445.83,1
85,BotB,BotA,2445.74,1
86,BotA,BotA,2445.26,1
87,BotB,BotC,2445.41,1
96,BotA,BotB,2446.9,1
97,BotB,BotA,2448.1,1
97,BotC,BotB,2448.1,1
97,BotC,BotC,2448.1,1
98,BotA,BotA,2446.32,1
104,BotB,BotA,2441.16,1
105,BotC,BotC,2441.94,1
107,BotB,BotA,2442.31,1
107,BotA,BotC,2442.31,1
123,BotA,BotB,2446.51,1
125,BotA,BotA,2445.87,1
125,BotC,BotC,2445.87,1
133,BotA,BotB,2448,1
134,BotC,BotA,2448.39,1
135,BotB,BotC,2449.1,1
135,BotC,BotA,2449.23,1
136,BotC,BotA,2449.39,1
137,BotA,BotB,2449.44,1
137,BotC,BotA,2449.5,1
167,BotB,BotB,2449.63,1
167,BotC,BotB,2449.7,1
168,BotB,BotC,2449.7,1
168,BotC,BotB,2449.74,1
169,BotB,BotB,2450.19,1
169,BotC,BotA,2450.2,1
170,BotB,BotA,2451.46,1
170,BotC,BotB,2452.04,1
174,BotC,BotA,2452.8,1
188,BotA,BotA,2451.66,1
200,BotC,BotC,2445.75,1
202,BotB,BotA,2448.12,1
202,BotA,BotB,2448.12,1
203,BotB,BotA,2446.65,1
204,BotC,BotA,2445.12,1
204,BotA,BotB,2445.12,1
205,BotC,BotB,2446.46,1
206,BotA,BotC,2445.75,1
207,BotB,BotB,2447.3,1
208,BotC,BotB,2448.1,1
209,BotA,BotB,2448.24,1
209,BotC,BotC,2448.24,1
216,BotB,BotA,2446.52,1
216,BotC,BotB,2446.52,1
216,BotC,BotC,2446.52,1
217,BotB,BotC,2444.86,1
225,BotB,BotA,2445.97,1
253,BotA,BotB,2446.74,1
253,BotB,BotC,2446.75,1
256,BotB,BotC,2446.91,1
256,BotC,BotA,2447.09,1
258,BotA,BotB,2447.09,1
260,BotB,BotA,2447.59,1
260,BotC,BotC,2447.59,1
287,BotC,BotA,2447.67,1
304,BotC,BotA,2446.27,1
305,BotB,BotA,2445.75,1
307,BotC,BotC,2443.36,1
310,BotA,BotC,2442.3,1
312,BotA,BotA,2443.61,1
313,BotB,BotA,2445.57,1
313,BotA,BotB,2445.57,1
318,BotB,BotA,2446.61,1
318,BotA,BotB,2446.61,1
322,BotB,BotC,2442.58,1
323,BotC,BotC,2444.86,1
338,BotC,BotA,2443.83,1
