timestep,buyer,seller,price,quantity
3,BotB,BotA,64882.860000,1
4,BotC,BotA,64738.670000,1
6,BotC,MomBot1,64865.080000,1
7,MomBot1,MomBot1,64873.930000,1
8,BotB,MomBot1,64586.320000,1
9,BotC,MomBot1,64661.860000,1
10,BotB,MomBot1,64694.410000,1
11,BotC,MomBot1,64663.190000,1
12,BotB,MomBot1,64477.090000,1
12,BotC,MomBot2,64477.090000,1
13,BotA,MomBot2,64663.190000,1
14,MomBot1,MomBot2,64694.410000,1
14,BotA,MomBot1,64695.950000,1
15,MomBot1,MomBot2,64695.950000,1
15,BotA,BotB,64698.410000,1
16,BotC,MomBot2,64569.900000,1
17,MomBot1,MomBot1,64412.250000,1
18,BotC,MomBot1,64556.830000,1
19,BotA,MomBot2,64556.830000,1
20,BotA,MomBot2,64336.990000,1
20,BotC,BotB,64340.990000,1
23,MomBot1,MomBot1,64553.400000,1
23,BotA,MomBot2,64553.400000,1
24,MomBot1,BotA,64557.400000,1
24,BotB,MomBot1,64571.920000,1
25,MomBot1,MomBot2,64571.920000,1
25,MomBot2,BotB,64575.920000,1
26,MomBot1,BotC,64575.920000,1
26,MomBot2,MomBot2,64639.910000,1
27,MomBot1,BotC,64643.910000,1
28,MomBot2,MomBot1,64592.350000,1
29,MomBot2,MomBot1,64555.650000,1
29,BotA,BotB,64559.650000,1
30,MomBot2,MomBot1,64495.270000,1
30,BotC,MomBot2,64495.270000,1
31,MomBot1,BotB,64596.350000,1
32,MomBot1,BotC,64652.290000,1
32,BotB,MomBot1,64682.370000,1
32,BotC,MomBot2,64682.370000,1
33,MomBot1,MomBot2,64686.550000,1
33,MomBot2,BotC,64690.550000,1
34,MomBot1,BotB,64699.950000,1
34,MomBot2,BotC,64700.200000,1
34,BotA,BotB,64701.100000,1
35,MomBot1,BotC,64701.100000,1
35,MomBot2,MomBot2,64743.220000,1
35,BotC,MomBot2,64749.100000,1
36,MomBot1,BotA,64753.100000,1
36,MomBot2,MomBot2,64759.790000,1
36,BotB,BotB,64763.790000,1
37,MomBot1,MomBot2,64800.310000,1
37,MomBot2,BotB,64804.310000,1
37,BotB,BotC,64804.310000,1
38,MomBot1,BotA,64886.650000,1
38,MomBot2,BotB,64886.650000,1
38,BotB,BotC,64886.650000,1
39,MomBot2,RSIBot1,65032.420000,1
40,MomBot2,BotC,65036.420000,1
41,MomBot1,BotA,65046.750000,1
41,MomBot2,BotB,65046.750000,1
42,MomBot1,MomBot1,65052.150000,1
42,MomBot2,BotA,65056.150000,1
42,BotB,BotC,65098.730000,1
43,MomBot1,MomBot1,65131.400000,1
43,MomBot2,RSIBot1,65226.840000,1
43,BotA,RSIBot1,65247.740000,1
43,BotB,BotB,65251.740000,1
44,MomBot1,RSIBot1,65276.980000,1
44,MomBot2,RSIBot1,65399.920000,1
44,BotB,RSIBot1,65436.160000,1
45,MomBot1,RSIBot1,65465.820000,1
45,MomBot2,BotA,65469.820000,1
45,BotA,BotC,65469.820000,1
46,MomBot1,RSIBot1,65590.600000,1
46,MomBot2,BotA,65594.600000,1
47,MomBot1,RSIBot1,65628.010000,1
48,MomBot1,RSIBot1,65694.010000,1
48,MomBot2,BotC,65698.010000,1
48,BotB,RSIBot1,65786.430000,1
51,MomBot1,MomBot1,65663.200000,1
52,MomBot2,MomBot1,65729.550000,1
53,MomBot1,BotC,65788.960000,1
53,MomBot2,BotC,65790.430000,1
55,MomBot1,BotA,65828.080000,1
56,MomBot1,RSIBot1,65938.620000,1
57,MomBot2,BotB,65909.290000,1
58,MomBot1,BotA,65942.620000,1
58,MomBot2,BotC,65947.430000,1
58,BotA,RSIBot1,66007.870000,1
59,MomBot1,BotC,66011.870000,1
59,MomBot2,BotB,66191.410000,1
60,BotC,BotB,66263.810000,1
62,MomBot1,BotB,66366.090000,1
62,MomBot2,BotB,66396.460000,1
64,MomBot1,RSIBot1,66584.400000,1
65,MomBot1,RSIBot1,66656.370000,1
65,MomBot2,BotA,66660.370000,1
66,MomBot1,RSIBot1,66857.770000,1
67,MomBot1,RSIBot1,66883.060000,1
68,MomBot1,RSIBot1,66929.240000,1
68,MomBot2,BotC,66933.240000,1
69,MomBot1,RSIBot1,66964.620000,1
69,MomBot2,BotA,66968.620000,1
70,MomBot1,RSIBot1,67029.370000,1
71,MomBot1,RSIBot1,67329.480000,1
72,MomBot1,RSIBot1,67439.050000,1
72,MomBot2,BotA,67443.050000,1
74,MomBot1,RSIBot1,67453.460000,1
75,MomBot2,MomBot1,67151.700000,1
75,BotA,RSIBot1,67151.700000,1
75,MomBot1,BotA,67155.700000,1
75,MomBot2,BotC,67155.700000,1
76,MomBot2,MomBot1,67431.120000,1
77,MomBot2,MomBot1,67402.940000,1
77,BotB,RSIBot1,67402.940000,1
78,MomBot2,MomBot2,67376.330000,1
78,BotA,RSIBot1,67376.330000,1
78,BotC,BotB,67380.330000,1
79,MomBot1,RSIBot1,67431.120000,1
80,BotC,MomBot2,67411.980000,1
81,MomBot1,MomBot1,67345.090000,1
81,BotC,MomBot2,67345.090000,1
81,MomBot1,BotC,67349.090000,1
82,BotA,MomBot1,67344.050000,1
83,MomBot2,BotA,67348.050000,1
84,MomBot1,BotA,67415.980000,1
84,MomBot2,BotB,67415.980000,1
84,BotA,MomBot1,67416.830000,1
84,BotC,BotA,67420.830000,1
86,MomBot1,MomBot1,67345.500000,1
86,BotB,MomBot2,67345.500000,1
87,MomBot2,MomBot2,67404.660000,1
88,MomBot1,BotB,67420.830000,1
90,MomBot2,MomBot1,67122.030000,1
90,BotB,MomBot2,67122.030000,1
91,BotC,MomBot1,67316.230000,1
91,BotC,MomBot2,67316.230000,1
91,MomBot2,BotB,67320.230000,1
92,BotA,MomBot1,67126.480000,1
92,BotB,MomBot2,67126.480000,1
93,BotB,MomBot2,67266.850000,1
94,MomBot2,MomBot2,67232.330000,1
95,BotB,MomBot1,67136.530000,1
95,BotC,MomBot2,67136.530000,1
96,MomBot1,MomBot1,67202.120000,1
96,BotC,MomBot2,67202.120000,1
96,MomBot1,BotB,67206.120000,1
98,MomBot1,MomBot2,67306.820000,1
98,MomBot2,BotA,67310.820000,1
102,MomBot1,MomBot1,67225.520000,1
103,MomBot2,MomBot1,67204.230000,1
104,MomBot1,MomBot1,67292.180000,1
104,MomBot2,BotA,67296.180000,1
106,MomBot1,MomBot2,67359.620000,1
107,MomBot1,BotC,67406.810000,1
107,MomBot2,MomBot2,67421.460000,1
107,BotB,MomBot2,67536.910000,1
109,MomBot1,BotB,67517.700000,1
109,MomBot2,RSIBot1,67540.890000,1
109,BotB,MomBot1,67545.200000,1
110,MomBot1,BotC,67549.200000,1
110,MomBot2,BotA,67551.320000,1
111,BotB,MomBot1,67477.560000,1
112,MomBot1,MomBot1,67355.650000,1
113,MomBot2,MomBot1,67219.590000,1
113,BotC,BotA,67223.590000,1
114,MomBot2,MomBot1,67227.100000,1
114,BotA,MomBot2,67227.100000,1
115,BotB,MomBot1,67084.000000,1
115,BotC,MomBot2,67084.000000,1
115,MomBot1,BotA,67088.000000,1
115,BotB,BotC,67088.000000,1
116,MomBot2,MomBot1,67247.420000,1
116,BotB,MomBot2,67247.420000,1
117,BotC,MomBot1,67183.090000,1
117,BotA,MomBot2,67183.090000,1
117,BotB,BotB,67187.090000,1
118,BotA,MomBot2,67168.510000,1
119,BotB,MomBot2,67308.330000,1
121,MomBot1,MomBot2,67403.540000,1
122,MomBot2,BotB,67459.450000,1
123,MomBot1,BotB,67396.060000,1
124,MomBot2,MomBot1,67235.050000,1
124,BotA,BotB,67239.050000,1
124,MomBot1,BotC,67239.050000,1
125,BotC,MomBot1,67187.910000,1
126,MomBot1,MomBot1,67210.540000,1
126,MomBot2,MomBot2,67210.540000,1
126,MomBot1,BotA,67214.540000,1
128,BotA,MomBot2,67341.690000,1
128,BotB,BotA,67345.690000,1
128,BotC,BotB,67345.690000,1
129,MomBot1,MomBot1,67353.690000,1
129,BotC,MomBot2,67353.690000,1
130,MomBot1,MomBot2,67176.750000,1
130,BotC,BotC,67180.750000,1
131,MomBot2,MomBot1,67189.000000,1
132,BotA,MomBot1,67137.070000,1
132,MomBot1,MomBot2,67137.070000,1
132,MomBot1,BotB,67141.070000,1
133,BotA,MomBot1,67017.380000,1
133,BotB,MomBot2,67017.380000,1
134,BotC,MomBot1,66847.850000,1
134,MomBot2,MomBot2,66847.850000,1
134,BotB,BotA,66851.850000,1
134,MomBot2,BotB,66851.850000,1
134,BotA,BotC,66851.850000,1
135,BotA,MomBot1,66510.170000,1
135,BotB,MomBot2,66510.170000,1
136,MomBot2,MomBot1,66305.830000,1
136,MomBot1,MomBot2,66305.830000,1
137,MomBot2,MomBot1,66275.330000,1
137,BotA,MomBot2,66275.330000,1
138,BotC,MomBot1,66091.370000,1
138,BotA,MomBot2,66091.370000,1
138,BotB,BotA,66095.370000,1
139,BotC,MomBot1,65926.110000,1
139,MomBot2,MomBot2,65926.110000,1
139,BotB,BotC,65930.110000,1
140,BotC,MomBot1,65831.880000,1
140,MomBot2,MomBot2,65831.880000,1
141,BotA,MomBot1,65634.330000,1
141,BotB,MomBot2,65634.330000,1
141,MomBot2,BotB,65638.330000,1
142,MomBot2,MomBot1,65542.520000,1
142,BotA,MomBot2,65542.520000,1
142,BotB,BotA,65546.520000,1
142,BotA,BotB,65546.520000,1
143,BotC,MomBot1,65449.590000,1
143,BotC,MomBot2,65449.590000,1
144,MomBot1,MomBot1,65515.930000,1
144,MomBot1,MomBot2,65515.930000,1
144,BotA,BotC,65519.930000,1
145,MomBot2,MomBot2,65775.970000,1
145,BotB,BotC,65779.970000,1
146,BotC,MomBot2,66052.200000,1
146,MomBot2,BotA,66056.200000,1
147,MomBot2,MomBot2,65808.810000,1
147,BotA,BotA,65812.810000,1
149,BotB,MomBot1,65609.830000,1
150,MomBot2,MomBot1,65798.250000,1
151,BotC,MomBot1,65658.420000,1
151,MomBot1,BotB,65662.420000,1
151,MomBot2,BotC,65662.420000,1
152,BotA,MomBot1,65538.560000,1
152,RSIBot1,MomBot2,65538.560000,1
153,BotA,MomBot1,65504.140000,1
153,BotB,MomBot2,65504.140000,1
153,MomBot1,BotB,65508.140000,1
154,MomBot2,MomBot1,65653.850000,1
154,BotC,MomBot2,65653.850000,1
154,RSIBot1,BotA,65657.850000,1
155,BotA,MomBot2,65626.250000,1
155,RSIBot1,BotA,65630.250000,1
156,BotA,MomBot2,65947.490000,1
160,MomBot1,BotA,66361.150000,1
160,MomBot2,BotC,66361.150000,1
161,MomBot1,BotA,66337.860000,1
163,MomBot1,RSIBot1,66437.250000,1
165,MomBot2,MomBot1,66385.010000,1
165,BotA,RSIBot1,66385.010000,1
166,BotB,MomBot1,66399.350000,1
166,BotC,RSIBot1,66399.350000,1
168,MomBot1,MomBot2,66351.730000,1
168,MomBot2,RSIBot1,66351.730000,1
169,MomBot1,MomBot1,66123.120000,1
169,MomBot2,MomBot2,66123.120000,1
169,MomBot1,BotA,66127.120000,1
170,MomBot2,MomBot1,66331.610000,1
170,BotA,MomBot2,66331.610000,1
170,MomBot2,BotB,66335.610000,1
171,BotB,MomBot1,66318.790000,1
171,BotC,MomBot2,66318.790000,1
171,MomBot2,BotB,66322.790000,1
172,MomBot1,RSIBot1,66499.630000,1
173,MomBot1,MomBot2,66544.690000,1
174,MomBot1,RSIBot1,66556.410000,1
174,MomBot2,MomBot2,66561.590000,1
175,BotB,BotB,66436.640000,1
175,BotB,BotC,66436.640000,1
176,BotC,MomBot1,66318.450000,1
177,BotA,MomBot1,66324.770000,1
178,MomBot1,MomBot1,66288.450000,1
179,MomBot2,MomBot1,66244.880000,1
179,BotA,MomBot2,66244.880000,1
179,BotA,BotB,66248.880000,1
180,BotB,MomBot1,66084.650000,1
180,BotC,MomBot2,66084.650000,1
181,MomBot2,MomBot1,66144.800000,1
181,MomBot1,MomBot2,66144.800000,1
181,BotA,BotB,66148.800000,1
182,BotB,MomBot1,65925.510000,1
182,BotC,MomBot2,65925.510000,1
182,MomBot1,BotC,65929.510000,1
183,MomBot2,MomBot1,65678.520000,1
183,BotB,MomBot2,65678.520000,1
184,MomBot2,MomBot1,65436.280000,1
184,MomBot2,MomBot2,65436.280000,1
185,BotC,MomBot1,65258.280000,1
185,BotB,MomBot2,65258.280000,1
185,BotC,BotC,65262.280000,1
186,MomBot1,MomBot1,65229.410000,1
186,MomBot2,MomBot2,65229.410000,1
187,MomBot2,MomBot1,65208.660000,1
187,BotC,MomBot2,65208.660000,1
188,BotC,MomBot1,65331.320000,1
188,MomBot1,MomBot2,65331.320000,1
188,MomBot2,BotA,65335.320000,1
188,BotA,BotC,65335.320000,1
189,BotA,MomBot2,65384.100000,1
190,BotC,MomBot2,65813.180000,1
191,BotB,MomBot2,65646.470000,1
193,RSIBot1,MomBot1,65482.450000,1
194,MomBot1,MomBot1,65534.200000,1
194,RSIBot1,BotA,65538.200000,1
194,BotB,BotB,65538.200000,1
195,MomBot1,MomBot1,65496.830000,1
196,MomBot2,MomBot1,65492.030000,1
197,MomBot1,MomBot2,65790.680000,1
198,BotB,BotC,65774.220000,1
199,RSIBot1,BotA,65682.290000,1
204,MomBot1,MomBot1,65788.220000,1
204,MomBot2,BotA,65792.220000,1
204,MomBot1,BotB,65792.220000,1
205,MomBot2,MomBot1,65791.960000,1
205,BotA,BotB,65795.960000,1
206,BotB,MomBot1,65805.740000,1
206,BotA,BotB,65809.740000,1
207,MomBot1,MomBot2,65810.870000,1
208,MomBot2,MomBot2,65864.170000,1
209,MomBot1,MomBot2,65782.810000,1
209,BotA,BotB,65786.810000,1
210,MomBot2,MomBot1,65749.990000,1
210,BotA,MomBot2,65749.990000,1
211,BotB,MomBot1,65805.050000,1
211,MomBot1,MomBot2,65805.050000,1
212,MomBot1,BotB,65868.170000,1
212,MomBot2,RSIBot1,65964.120000,1
212,BotA,BotC,65969.450000,1
215,MomBot1,MomBot1,65794.170000,1
216,MomBot2,MomBot1,65868.930000,1
217,BotA,MomBot1,65861.930000,1
220,MomBot1,MomBot2,65953.410000,1
222,MomBot1,MomBot2,65980.690000,1
222,MomBot2,BotB,66041.100000,1
223,BotB,BotB,65970.830000,1
223,MomBot1,BotC,65970.830000,1
225,MomBot1,BotB,66018.520000,1
225,MomBot2,BotA,66080.880000,1
226,MomBot1,BotC,66080.880000,1
226,MomBot2,BotB,66243.930000,1
227,BotB,RSIBot1,66581.880000,1
229,MomBot1,RSIBot1,66439.360000,1
229,MomBot2,BotC,66443.360000,1
230,BotB,MomBot1,66361.560000,1
230,MomBot1,BotA,66365.560000,1
231,MomBot2,MomBot1,66447.690000,1
231,BotB,RSIBot1,66447.690000,1
232,BotC,MomBot1,66373.610000,1
233,MomBot2,MomBot1,66148.360000,1
233,BotA,MomBot2,66148.360000,1
234,BotC,MomBot1,66325.480000,1
234,MomBot1,MomBot2,66325.480000,1
234,MomBot2,BotB,66329.480000,1
235,BotB,MomBot1,66377.060000,1
237,MomBot1,MomBot2,66375.600000,1
237,BotB,MomBot2,66377.060000,1
237,BotC,BotB,66381.060000,1
238,MomBot1,MomBot2,66497.010000,1
238,MomBot2,RSIBot1,66596.310000,1
238,BotA,BotA,66690.180000,1
239,MomBot1,BotC,66690.180000,1
240,MomBot2,BotC,66725.510000,1
241,MomBot1,RSIBot1,66750.740000,1
241,MomBot2,BotC,66754.740000,1
242,BotA,BotB,66818.620000,1
244,MomBot1,BotA,66903.060000,1
246,MomBot2,MomBot1,66509.030000,1
247,BotC,MomBot1,66292.700000,1
247,MomBot1,MomBot2,66292.700000,1
248,MomBot2,MomBot1,66387.270000,1
248,MomBot1,MomBot2,66387.270000,1
249,MomBot2,MomBot1,66576.560000,1
249,BotC,MomBot2,66576.560000,1
249,MomBot1,BotB,66580.560000,1
250,MomBot2,MomBot2,66498.330000,1
251,BotA,MomBot2,66359.040000,1
252,BotC,MomBot1,66087.330000,1
252,BotB,MomBot2,66087.330000,1
252,BotC,BotB,66091.330000,1
252,MomBot1,BotC,66091.330000,1
253,MomBot2,MomBot1,66193.650000,1
253,BotA,MomBot2,66193.650000,1
254,MomBot2,MomBot1,66123.220000,1
254,MomBot1,MomBot2,66123.220000,1
254,BotB,BotC,66127.220000,1
255,BotC,MomBot1,65954.140000,1
255,MomBot1,MomBot2,65954.140000,1
256,MomBot2,MomBot1,65761.800000,1
256,BotA,MomBot2,65761.800000,1
256,BotC,BotB,65765.800000,1
257,BotC,MomBot1,65830.260000,1
257,MomBot2,MomBot2,65830.260000,1
257,MomBot1,BotC,65834.260000,1
258,BotB,MomBot1,65648.850000,1
258,BotA,MomBot2,65648.850000,1
259,BotC,MomBot1,65746.490000,1
259,BotB,MomBot2,65746.490000,1
259,BotB,BotB,65750.490000,1
260,BotC,MomBot1,65498.870000,1
260,BotA,MomBot2,65498.870000,1
261,BotC,MomBot1,65489.100000,1
261,MomBot1,MomBot2,65489.100000,1
262,MomBot2,MomBot1,65348.350000,1
262,MomBot2,MomBot2,65348.350000,1
263,BotB,MomBot1,65358.430000,1
263,MomBot1,MomBot2,65358.430000,1
263,MomBot2,BotB,65362.430000,1
264,MomBot1,MomBot1,65395.180000,1
264,MomBot2,MomBot2,65395.180000,1
264,BotA,BotA,65399.180000,1
264,BotB,BotB,65399.180000,1
265,BotC,MomBot2,65575.560000,1
266,RSIBot1,MomBot2,65727.640000,1
266,MomBot1,BotB,65731.640000,1
267,BotA,BotC,65712.460000,1
268,MomBot1,BotC,65770.890000,1
269,MomBot2,MomBot1,65530.380000,1
270,BotA,MomBot1,65319.800000,1
270,MomBot2,BotB,65323.800000,1
270,MomBot2,BotC,65323.800000,1
271,BotA,MomBot1,65171.670000,1
272,MomBot2,MomBot1,65196.510000,1
272,BotA,MomBot2,65196.510000,1
272,BotB,BotA,65200.510000,1
273,BotC,MomBot1,65463.870000,1
273,RSIBot1,MomBot2,65463.870000,1
274,RSIBot1,MomBot2,65475.600000,1
275,BotB,MomBot2,65475.370000,1
275,BotB,BotB,65479.370000,1
275,MomBot1,BotC,65479.370000,1
276,MomBot2,MomBot2,65354.170000,1
276,BotB,BotA,65358.170000,1
277,MomBot1,MomBot1,65556.550000,1
279,MomBot1,BotA,65547.310000,1
280,BotA,MomBot1,65292.100000,1
281,MomBot1,MomBot1,65313.500000,1
282,RSIBot1,MomBot1,65523.360000,1
282,MomBot2,MomBot2,65523.360000,1
283,BotC,MomBot2,65552.880000,1
283,BotA,BotC,65556.880000,1
284,BotB,MomBot2,65390.160000,1
284,MomBot2,BotB,65394.160000,1
284,BotC,BotC,65394.160000,1
285,MomBot2,MomBot1,65153.100000,1
285,MomBot2,MomBot2,65153.100000,1
285,MomBot1,BotA,65157.100000,1
285,MomBot1,BotC,65157.100000,1
286,MomBot2,MomBot1,64943.000000,1
286,BotA,MomBot2,64943.000000,1
287,BotB,MomBot1,64924.020000,1
287,MomBot2,MomBot2,64924.020000,1
287,BotB,BotC,64928.020000,1
288,BotC,MomBot1,64981.360000,1
288,MomBot1,MomBot2,64981.360000,1
289,BotA,MomBot1,65099.520000,1
289,BotA,MomBot2,65099.520000,1
289,BotC,BotC,65103.520000,1
290,MomBot1,MomBot2,65062.260000,1
290,RSIBot1,BotB,65066.260000,1
291,MomBot1,MomBot2,65225.910000,1
292,MomBot2,MomBot2,65454.870000,1
292,MomBot1,BotA,65458.870000,1
293,MomBot2,BotA,65200.460000,1
294,BotA,MomBot1,64924.750000,1
294,MomBot1,BotA,64928.750000,1
294,MomBot2,BotC,64928.750000,1
295,RSIBot1,MomBot1,65184.160000,1
295,BotC,BotC,65188.160000,1
296,BotC,MomBot1,65284.050000,1
297,RSIBot1,MomBot2,65158.590000,1
297,BotC,BotB,65162.590000,1
298,BotA,MomBot2,64968.640000,1
299,MomBot2,MomBot1,65098.620000,1
299,MomBot1,MomBot2,65098.620000,1
299,BotC,BotC,65102.620000,1
300,BotA,MomBot1,65125.700000,1
300,MomBot1,MomBot2,65125.700000,1
301,MomBot2,MomBot2,65037.530000,1
302,RSIBot1,MomBot1,65011.840000,1
302,BotC,MomBot2,65011.840000,1
303,MomBot1,MomBot1,64774.700000,1
303,MomBot2,MomBot2,64774.700000,1
303,BotA,BotA,64778.700000,1
303,BotB,BotB,64778.700000,1
304,MomBot2,MomBot1,64872.070000,1
304,BotA,MomBot2,64872.070000,1
305,MomBot1,MomBot1,64833.430000,1
305,MomBot2,MomBot2,64833.430000,1
306,BotB,MomBot1,64816.070000,1
306,BotC,MomBot2,64816.070000,1
306,MomBot2,BotB,64820.070000,1
307,BotB,MomBot1,64700.850000,1
307,BotC,MomBot2,64700.850000,1
307,MomBot2,BotA,64704.850000,1
308,MomBot1,MomBot1,64400.510000,1
308,MomBot2,MomBot2,64400.510000,1
309,RSIBot1,MomBot1,64484.080000,1
309,MomBot1,MomBot2,64484.080000,1
309,BotA,BotB,64488.080000,1
310,BotA,MomBot1,64612.990000,1
310,BotB,MomBot2,64612.990000,1
311,BotC,MomBot2,64770.450000,1
311,RSIBot1,BotC,64774.450000,1
312,BotA,MomBot2,64749.100000,1
313,BotC,MomBot2,64585.190000,1
314,MomBot1,MomBot1,64460.070000,1
314,BotA,MomBot2,64460.070000,1
315,BotC,MomBot1,64766.890000,1
317,MomBot2,BotA,64648.260000,1
318,RSIBot1,BotA,64675.030000,1
319,BotC,MomBot1,64994.120000,1
319,MomBot1,BotA,64998.120000,1
320,RSIBot1,BotC,65021.770000,1
321,BotA,BotA,65058.870000,1
321,MomBot2,BotC,65058.870000,1
322,MomBot1,RSIBot1,65205.540000,1
322,BotA,BotA,65209.540000,1
322,BotC,BotB,65209.540000,1
322,BotA,BotC,65209.540000,1
324,MomBot1,MomBot1,64951.760000,1
325,MomBot2,MomBot1,64675.210000,1
326,RSIBot1,MomBot1,64860.330000,1
327,BotC,MomBot1,64687.840000,1
327,MomBot2,MomBot2,64687.840000,1
327,MomBot2,BotA,64691.840000,1
327,MomBot1,BotB,64691.840000,1
328,MomBot2,MomBot1,64853.090000,1
328,BotA,MomBot2,64853.090000,1
329,BotA,MomBot2,64873.540000,1
329,BotB,BotC,64877.540000,1
330,BotC,MomBot2,64752.850000,1
331,RSIBot1,MomBot1,64610.110000,1
331,RSIBot1,MomBot2,64610.110000,1
332,MomBot2,MomBot1,64543.800000,1
332,BotB,MomBot2,64543.800000,1
332,BotC,BotA,64547.800000,1
333,BotC,MomBot1,64644.580000,1
333,MomBot2,MomBot2,64644.580000,1
333,RSIBot1,BotB,64648.580000,1
334,BotA,MomBot2,64806.790000,1
335,BotC,MomBot2,64449.790000,1
335,MomBot2,BotB,64453.790000,1
336,BotA,MomBot1,64409.090000,1
336,BotB,MomBot2,64409.090000,1
337,BotC,MomBot1,64227.740000,1
337,MomBot1,MomBot2,64227.740000,1
337,MomBot1,BotB,64231.740000,1
338,BotB,MomBot1,64457.280000,1
338,BotC,MomBot2,64457.280000,1
339,MomBot1,MomBot2,64694.780000,1
339,BotB,BotB,64698.780000,1
340,RSIBot1,MomBot2,64768.690000,1
341,RSIBot1,MomBot2,64637.590000,1
343,BotB,BotC,64680.620000,1
344,BotC,MomBot1,64379.590000,1
344,RSIBot1,BotB,64383.590000,1
345,MomBot1,MomBot1,64421.750000,1
345,BotA,BotB,64425.750000,1
346,MomBot1,MomBot1,64388.250000,1
346,RSIBot1,MomBot2,64388.250000,1
347,BotA,MomBot1,64280.410000,1
347,BotB,MomBot2,64280.410000,1
348,RSIBot1,MomBot2,64665.750000,1
349,BotA,MomBot2,64832.710000,1
352,MomBot1,BotA,65043.420000,1
353,BotB,BotC,64829.020000,1
354,RSIBot1,MomBot1,64736.780000,1
355,BotA,MomBot1,64839.740000,1
355,RSIBot1,BotA,64843.740000,1
356,BotB,MomBot1,64882.300000,1
356,MomBot2,BotB,64886.300000,1
358,MomBot2,BotB,65099.720000,1
359,BotB,BotC,64941.640000,1
360,MomBot2,BotC,65083.650000,1
361,BotC,MomBot1,64898.260000,1
361,MomBot2,BotC,64902.260000,1
362,RSIBot1,MomBot1,65094.880000,1
363,BotA,MomBot1,64768.800000,1
