timestep,buyer,seller,price,quantity
8,MomBot1,BotB,64864.540000,1
10,BotC,MomBot1,64661.860000,1
18,BotB,MomBot1,64477.090000,1
19,BotC,MomBot2,64477.090000,1
22,MomBot1,MomBot1,64663.190000,1
23,BotC,MomBot2,64663.190000,1
26,MomBot1,MomBot1,64694.410000,1
27,BotB,MomBot2,64694.410000,1
31,BotC,MomBot2,64569.900000,1
34,MomBot1,MomBot1,64412.250000,1
35,BotC,BotB,64416.250000,1
42,BotC,MomBot2,64336.990000,1
43,MomBot2,BotC,64340.990000,1
46,BotC,MomBot1,64553.400000,1
49,MomBot1,MomBot2,64553.400000,1
52,MomBot1,MomBot1,64556.830000,1
55,MomBot1,MomBot2,64556.830000,1
56,MomBot2,BotB,64560.830000,1
57,BotC,MomBot1,64571.920000,1
58,MomBot1,MomBot2,64571.920000,1
59,MomBot2,MomBot2,64639.910000,1
61,MomBot1,BotC,64643.910000,1
64,MomBot2,MomBot1,64592.350000,1
66,MomBot2,MomBot1,64555.650000,1
67,MomBot2,MomBot1,64495.270000,1
70,MomBot1,MomBot2,64495.270000,1
72,MomBot1,BotC,64499.270000,1
73,BotB,MomBot1,64682.370000,1
74,BotC,MomBot2,64682.370000,1
76,MomBot1,MomBot2,64686.550000,1
77,MomBot2,BotC,64690.550000,1
80,MomBot1,MomBot1,64695.950000,1
81,MomBot2,MomBot2,64695.950000,1
83,MomBot1,BotB,64701.100000,1
84,MomBot2,MomBot2,64743.220000,1
87,MomBot1,BotB,64747.220000,1
88,MomBot2,MomBot2,64749.100000,1
89,BotB,MomBot2,64759.790000,1
92,MomBot1,MomBot2,64800.310000,1
93,MomBot2,BotC,64864.540000,1
95,MomBot1,MomBot1,64865.080000,1
96,MomBot2,MomBot1,64873.930000,1
98,MomBot2,BotC,64877.930000,1
101,MomBot2,BotC,64882.860000,1
103,MomBot1,RSIBot1,65032.420000,1
104,MomBot2,BotB,65046.750000,1
106,MomBot1,BotC,65046.750000,1
107,MomBot2,MomBot1,65052.150000,1
108,BotB,BotC,65056.150000,1
110,MomBot1,BotC,65098.730000,1
111,MomBot2,MomBot1,65131.400000,1
114,MomBot1,RSIBot1,65226.840000,1
115,MomBot2,RSIBot1,65247.740000,1
116,BotB,BotB,65251.740000,1
118,MomBot1,RSIBot1,65276.980000,1
119,MomBot2,BotC,65280.980000,1
120,BotB,RSIBot1,65399.920000,1
121,BotC,RSIBot1,65436.160000,1
123,MomBot1,BotC,65440.160000,1
124,MomBot2,RSIBot1,65465.820000,1
126,MomBot1,RSIBot1,65590.600000,1
127,MomBot2,RSIBot1,65628.010000,1
130,MomBot2,RSIBot1,65694.010000,1
132,MomBot1,BotB,65698.010000,1
138,MomBot1,MomBot1,65729.550000,1
139,MomBot1,RSIBot1,65786.430000,1
148,MomBot1,RSIBot1,65938.620000,1
151,MomBot2,RSIBot1,66007.870000,1
156,MomBot1,BotC,66263.810000,1
166,MomBot1,RSIBot1,66584.400000,1
169,MomBot1,RSIBot1,66656.370000,1
172,MomBot1,RSIBot1,66857.770000,1
176,MomBot1,RSIBot1,66883.060000,1
179,MomBot2,RSIBot1,66929.240000,1
181,MomBot1,RSIBot1,66964.620000,1
184,MomBot2,RSIBot1,67029.370000,1
186,MomBot1,RSIBot1,67329.480000,1
190,MomBot1,RSIBot1,67439.050000,1
196,MomBot2,RSIBot1,67540.890000,1
202,MomBot1,RSIBot1,67453.460000,1
204,MomBot2,MomBot1,67151.700000,1
205,MomBot1,RSIBot1,67151.700000,1
206,MomBot2,BotC,67155.700000,1
208,BotC,MomBot1,67431.120000,1
209,MomBot2,RSIBot1,67431.120000,1
213,BotC,MomBot1,67402.940000,1
214,MomBot2,RSIBot1,67402.940000,1
216,MomBot2,MomBot2,67376.330000,1
217,BotB,RSIBot1,67376.330000,1
222,MomBot1,MomBot2,67411.980000,1
224,MomBot1,MomBot1,67345.090000,1
225,BotB,MomBot2,67345.090000,1
226,BotC,BotC,67349.090000,1
228,MomBot1,MomBot1,67344.050000,1
233,MomBot1,MomBot1,67416.830000,1
234,MomBot2,BotB,67420.830000,1
237,MomBot2,MomBot2,67404.660000,1
238,MomBot1,MomBot1,67345.500000,1
239,BotC,MomBot2,67345.500000,1
240,MomBot2,BotC,67420.830000,1
241,BotC,MomBot2,67536.910000,1
246,MomBot1,MomBot1,67122.030000,1
247,MomBot2,MomBot2,67122.030000,1
248,MomBot2,BotB,67126.030000,1
249,BotB,MomBot1,67316.230000,1
253,MomBot2,MomBot1,67126.480000,1
254,MomBot2,MomBot2,67126.480000,1
258,MomBot1,MomBot2,67232.330000,1
259,MomBot1,MomBot2,67136.530000,1
263,MomBot1,MomBot1,67202.120000,1
266,MomBot1,MomBot2,67202.120000,1
267,MomBot2,MomBot2,67266.850000,1
268,BotB,MomBot2,67306.820000,1
269,MomBot1,BotB,67310.820000,1
270,MomBot2,MomBot2,67316.230000,1
271,MomBot2,BotC,67320.230000,1
275,MomBot1,MomBot1,67225.520000,1
276,MomBot2,BotB,67229.520000,1
279,MomBot2,MomBot1,67204.230000,1
281,MomBot2,BotB,67208.230000,1
284,MomBot1,BotC,67229.520000,1
286,MomBot1,MomBot1,67292.180000,1
288,MomBot1,BotC,67296.180000,1
289,MomBot2,MomBot2,67359.620000,1
