timestep,buyer,seller,price,quantity
9,MomBot1,MomBot1,2456.470000,1
10,MomBot1,BotA,2459.190000,1
10,MomBot2,BotB,2459.190000,1
11,MomBot1,BotA,2461.960000,1
11,MomBot2,BotB,2461.960000,1
12,MomBot1,BotC,2461.960000,1
14,MomBot2,MomBot1,2461.920000,1
15,MomBot2,BotC,2463.570000,1
16,MomBot1,BotA,2465.920000,1
16,MomBot2,BotB,2465.920000,1
17,MomBot1,MomBot1,2466.070000,1
17,MomBot2,RSIBot1,2466.070000,1
18,MomBot1,RSIBot1,2468.970000,1
20,MomBot1,RSIBot1,2471.400000,1
20,MomBot2,RSIBot1,2471.410000,1
21,MomBot1,RSIBot1,2471.980000,1
23,MomBot2,MomBot1,2467.450000,1
24,BotA,MomBot1,2462.350000,1
25,MomBot1,MomBot1,2462.910000,1
25,MomBot2,MomBot2,2462.910000,1
25,MomBot2,BotB,2466.910000,1
26,MomBot1,MomBot1,2460.860000,1
26,MomBot2,MomBot2,2460.860000,1
26,MomBot2,BotC,2464.860000,1
27,BotA,MomBot1,2463.630000,1
27,BotB,MomBot2,2463.630000,1
28,BotA,MomBot2,2464.580000,1
29,BotB,MomBot2,2462.140000,1
30,MomBot1,MomBot1,2456.970000,1
30,MomBot1,MomBot2,2456.970000,1
32,MomBot2,MomBot1,2458.150000,1
32,BotC,MomBot2,2458.150000,1
33,MomBot2,MomBot1,2459.220000,1
33,MomBot1,MomBot2,2459.220000,1
34,BotB,MomBot1,2459.170000,1
34,MomBot2,MomBot2,2459.170000,1
37,BotA,MomBot1,2455.370000,1
37,BotB,MomBot2,2455.370000,1
38,MomBot1,MomBot1,2453.340000,1
38,BotB,MomBot2,2453.340000,1
39,RSIBot1,MomBot1,2452.670000,1
39,BotC,MomBot2,2452.670000,1
40,BotA,MomBot1,2450.180000,1
40,BotC,MomBot2,2450.180000,1
41,BotB,MomBot1,2449.310000,1
41,BotC,MomBot2,2449.310000,1
42,MomBot1,MomBot1,2452.640000,1
42,BotA,MomBot2,2452.640000,1
