timestep,buyer,seller,price,quantity
4,Imbalance,Imbalance,2448.330000,1
10,Imbalance,Imbalance,2455.970000,1
12,Momentum,Imbalance,2456.690000,1
23,Momentum,RSI,2466.070000,1
25,Momentum,RSI,2468.970000,1
32,Momentum,RSI,2471.400000,1
34,Momentum,RSI,2471.410000,1
40,Momentum,Momentum,2462.910000,1
42,Momentum,Momentum,2460.860000,1
43,Momentum,Momentum,2464.580000,1
45,Momentum,Momentum,2456.970000,1
46,Random_B,Momentum,2458.150000,1
47,Imbalance,Momentum,2459.220000,1
48,Momentum,Random_B,2463.220000,1
50,Momentum,Momentum,2459.170000,1
54,Imbalance,Random_B,2456.760000,1
55,Momentum,Random_B,2458.340000,1
77,Momentum,Random_B,2441.890000,1
83,Momentum,Momentum,2432.760000,1
85,Random_B,Momentum,2433.970000,1
86,Momentum,Momentum,2437.820000,1
87,Random_B,Random_B,2441.820000,1
88,Momentum,Momentum,2441.830000,1
94,RSI,Bollinger,2437.979000,1
95,Momentum,Random_B,2452.800000,1
96,Momentum,Bollinger,2452.500000,1
100,Imbalance,Momentum,2442.900000,1
102,Momentum,Momentum,2444.100000,1
103,Random_B,Momentum,2438.620000,1
105,Imbalance,Momentum,2441.070000,1
106,Momentum,Momentum,2438.500000,1
107,Random_B,Momentum,2436.790000,1
108,Bollinger,Random_B,2440.790000,1
111,Bollinger,Momentum,2437.940000,1
113,Random_B,Momentum,2438.500000,1
114,Random_B,Momentum,2438.310000,1
120,Bollinger,RSI,2445.230000,1
121,Random_B,RSI,2448.060000,1
122,Random_B,RSI,2445.740000,1
123,RSI,RSI,2445.700000,1
132,Random_B,Bollinger,2444.661500,1
134,Momentum,Bollinger,2444.956500,1
137,Random_B,Bollinger,2447.334000,1
139,Momentum,RSI,2449.300000,1
141,Momentum,Momentum,2446.650000,1
142,Imbalance,Momentum,2445.700000,1
144,Momentum,Momentum,2445.710000,1
145,Random_B,Momentum,2445.630000,1
150,Momentum,Momentum,2447.260000,1
153,Momentum,Momentum,2448.040000,1
167,Random_B,Momentum,2453.100000,1
169,Bollinger,RSI,2453.790000,1
171,Bollinger,Momentum,2448.990000,1
173,Bollinger,Momentum,2447.660000,1
174,Momentum,Momentum,2449.130000,1
175,Momentum,Momentum,2450.670000,1
183,Momentum,Momentum,2447.410000,1
184,Random_B,Momentum,2445.090000,1
186,Momentum,Momentum,2441.750000,1
187,Bollinger,Momentum,2444.120000,1
193,Momentum,Momentum,2443.300000,1
195,Bollinger,Momentum,2444.100000,1
202,Momentum,Momentum,2440.860000,1
204,Momentum,Random_B,2445.200000,1
213,Momentum,Momentum,2443.670000,1
215,Bollinger,Momentum,2443.150000,1
216,Momentum,Bollinger,2444.341500,1
217,Momentum,Momentum,2446.440000,1
219,Momentum,Random_B,2448.160000,1
220,Momentum,Bollinger,2445.118500,1
221,Momentum,Random_B,2450.780000,1
225,Momentum,Bollinger,2445.628500,1
226,Momentum,Bollinger,2446.219000,1
236,Random_B,Momentum,2447.860000,1
256,Bollinger,Momentum,2449.080000,1
263,Bollinger,Momentum,2449.230000,1
265,Bollinger,Momentum,2442.270000,1
266,Random_B,Random_B,2446.270000,1
276,Bollinger,Random_B,2442.300000,1
278,RSI,Momentum,2440.010000,1
280,Bollinger,Momentum,2439.610000,1
281,RSI,Momentum,2441.570000,1
282,Random_B,Momentum,2441.630000,1
294,Random_B,Momentum,2445.000000,1
295,Random_B,Momentum,2445.660000,1
300,Momentum,Bollinger,2442.001500,1
307,Random_B,Momentum,2445.160000,1
308,Random_B,RSI,2445.160000,1
310,Random_B,Momentum,2442.790000,1
311,Random_B,Momentum,2440.180000,1
312,Random_B,Momentum,2439.830000,1
314,RSI,Momentum,2436.410000,1
316,Momentum,Momentum,2438.460000,1
317,Random_B,Momentum,2437.560000,1
318,Random_B,Random_B,2441.560000,1
320,Random_B,Momentum,2437.390000,1
322,Momentum,Momentum,2434.510000,1
325,Momentum,Momentum,2430.320000,1
327,Random_B,Momentum,2431.540000,1
329,Random_B,Momentum,2431.090000,1
331,Random_B,Momentum,2430.020000,1
333,Momentum,Momentum,2428.170000,1
334,Bollinger,Random_B,2432.170000,1
337,Random_B,Momentum,2431.980000,1
338,Random_B,Random_B,2436.510000,1
343,RSI,Bollinger,2431.298500,1
344,Momentum,Random_B,2439.920000,1
346,Random_B,Bollinger,2431.930500,1
347,Momentum,Random_B,2441.420000,1
348,Momentum,RSI,2438.060000,1
349,Random_B,RSI,2438.270000,1
351,RSI,RSI,2437.860000,1
354,Momentum,Momentum,2435.930000,1
355,Random_B,Momentum,2438.530000,1
356,Random_B,Momentum,2439.280000,1
358,Random_B,Random_B,2442.010000,1
359,Momentum,Bollinger,2437.043500,1
362,Momentum,Random_B,2439.710000,1
363,Momentum,Momentum,2436.210000,1
367,Momentum,Momentum,2429.540000,1
370,Momentum,Momentum,2428.980000,1
373,Momentum,Momentum,2427.830000,1
379,RSI,Momentum,2416.800000,1
380,Random_B,Momentum,2421.000000,1
381,Momentum,Momentum,2421.580000,1
382,Momentum,Random_B,2425.580000,1
384,Random_B,Momentum,2413.450000,1
386,Momentum,Momentum,2419.400000,1
387,Momentum,Momentum,2421.010000,1
388,Momentum,Random_B,2425.010000,1
393,Random_B,Random_B,2427.170000,1
397,Momentum,Momentum,2419.650000,1
399,Momentum,Momentum,2418.830000,1
400,Momentum,Momentum,2418.270000,1
401,RSI,Random_B,2422.270000,1
402,Random_B,Momentum,2416.040000,1
405,RSI,Momentum,2412.270000,1
411,Random_B,Momentum,2407.820000,1
413,Momentum,Momentum,2412.680000,1
414,RSI,Momentum,2413.820000,1
415,RSI,Momentum,2406.800000,1
416,Momentum,Random_B,2410.800000,1
418,Random_B,Momentum,2400.480000,1
420,Random_B,Random_B,2399.120000,1
421,Random_B,Random_B,2403.420000,1
425,Bollinger,RSI,2410.040000,1
426,Momentum,RSI,2409.390000,1
427,Random_B,Bollinger,2417.850000,1
428,RSI,RSI,2418.860000,1
429,Random_B,RSI,2415.900000,1
430,Random_B,RSI,2416.510000,1
431,Random_B,RSI,2416.960000,1
432,Random_B,Bollinger,2408.506500,1
433,Random_B,RSI,2426.410000,1
434,RSI,Random_B,2430.410000,1
435,RSI,Bollinger,2432.430000,1
436,Random_B,RSI,2433.440000,1
439,RSI,Bollinger,2411.952500,1
440,RSI,RSI,2432.390000,1
443,Bollinger,RSI,2432.390000,1
445,RSI,RSI,2431.900000,1
446,Random_B,RSI,2430.070000,1
448,Random_B,RSI,2427.750000,1
450,Random_B,RSI,2426.310000,1
451,Random_B,Momentum,2424.650000,1
452,RSI,Momentum,2425.230000,1
453,Random_B,Random_B,2429.230000,1
454,Random_B,Momentum,2423.430000,1
455,Random_B,Momentum,2425.980000,1
456,RSI,Momentum,2424.000000,1
457,RSI,Momentum,2423.550000,1
458,RSI,Momentum,2419.110000,1
460,Bollinger,Momentum,2416.140000,1
462,Momentum,Momentum,2411.710000,1
464,RSI,Momentum,2412.220000,1
467,RSI,Momentum,2414.050000,1
468,Random_B,Momentum,2416.670000,1
470,Bollinger,Momentum,2413.360000,1
477,Random_B,Momentum,2412.040000,1
478,RSI,Momentum,2413.500000,1
479,Random_B,Momentum,2416.990000,1
480,RSI,Random_B,2420.990000,1
485,Random_B,Momentum,2408.380000,1
486,Momentum,Momentum,2408.490000,1
